doi,title,publication year,publication venue,type,issue,volume
10.1002/cfg.304,Development of Computational Tools for the Inference of Protein Interaction Specificity Rules and Functional Annotation Using Structural Information,2003,Comparative and Functional Genomics,journal article,4,4
10.1016/s1367-5931(02)00332-0,In vitro selection as a powerful tool for the applied evolution of proteins and peptides,2002,Current Opinion in Chemical Biology,journal article,3,6
10.1080/10273660500441324,Development of a Species-Specific Model of Cerebral Hemodynamics,2005,Journal of Theoretical Medicine,journal article,3,6
10.1152/jappl.1997.82.4.1256,A simple mathematical model of the interaction between intracranial pressure and cerebral hemodynamics,1997,Journal of Applied Physiology,journal article,4,82
10.1161/01.str.20.1.45,Cerebral autoregulation dynamics in humans.,1989,Stroke,journal article,1,20
10.1136/jnnp.29.5.398,Autoregulation of cerebral blood flow: influence of the arterial blood pressure on the blood flow through the cerebral cortex.,1966,"Journal of Neurology, Neurosurgery & Psychiatry",journal article,5,29
10.1113/jphysiol.1902.sp000911,On the local reactions of the arterial wall to changes of internal pressure,1902,The Journal of Physiology,journal article,3,28
10.1080/10273660412331292260,Amplified Molecular Binding of Prion Protein Homologues in Self-Progressive Injury of Neuronal Membranes and Trafficking Systems,2003,Journal of Theoretical Medicine,journal article,3-4,5
10.1006/nbdi.2002.0558,Astrocytes Accumulate 4-Hydroxynonenal Adducts in Murine Scrapie and Human Creutzfeldt–Jakob Disease,2002,Neurobiology of Disease,journal article,3,11
10.1155/aaa/2006/76582,Existence of positive solutions for some polyharmonic nonlinear equations inℝn,2006,Abstract and Applied Analysis,journal article,,2006
10.1155/aaa/2006/24307,Existence of positive solutions for some nonlinear elliptic problems in unbounded domains ofℝn,2006,Abstract and Applied Analysis,journal article,,2006
10.1142/s0219199703001038,Estimates on the Green Function and Existence of Positive Solutions of Nonlinear Singular Elliptic Equations,2003,Communications in Contemporary Mathematics,journal article,03,05
10.1007/s002080050232,Estimates on Green functions and Poisson kernels for symmetric stable processes,1998,Mathematische Annalen,journal article,3,312
10.1155/ddns/2006/63245,Linear and nonlinear approach for DEM smoothening,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1006/jvci.1996.0020,On the Validity of Fractal Dimension Measurements in Image Analysis,1996,Journal of Visual Communication and Image Representation,journal article,3,7
10.1155/ddns/2006/83489,Stability results on age-structured SIS epidemic model with coupling impulsive effect,2006,Discrete Dynamics in Nature and Society,journal article,,2006
10.1016/s0025-5564(02)00095-0,Stability properties of pulse vaccination strategy in SEIR epidemic model,2002,Mathematical Biosciences,journal article,1,179
10.1155/jamsa/2006/69584,On nondensely defined semilinear stochastic functional differential equations with nonlocal conditions,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.1155/jamsa/2006/23297,Equivalence and stability of random fixed point iterative procedures,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.12775/tmna.2002.020,Minimal displacement of random variables under Lipschitz random maps,2002,Topological Methods in Nonlinear Analysis,journal article,2,19
10.1155/jamsa/2006/49431,Generalized flow invariance for differential inclusions,2006,Journal of Applied Mathematics and Stochastic Analysis,journal article,,2006
10.2140/pjm.1974.51.215,On flow-invariant sets,1974,Pacific Journal of Mathematics,journal article,1,51
10.1155/mpe/2006/35672,Dynamics and statics of flexible axially symmetric shallow shells,2006,Mathematical Problems in Engineering,journal article,,2006
10.1007/s00419-003-0303-8,Analysis of complex parametric vibrations of plates and shells using Bubnov-Galerkin approach,2003,Archive of Applied Mechanics,journal article,7,73
10.1155/mpe/2006/87940,Thermal shock problem of a generalized thermoelastic layered composite material with variable thermal conductivity,2006,Mathematical Problems in Engineering,journal article,,2006
10.1090/qam/575828,Generalized thermoelasticity for anisotropic media,1980,Quarterly of Applied Mathematics,journal article,1,38
10.1155/mpe/2006/85623,Mathematical model of dissipative parametric vibrations of flexible plates with nonhomogeneous boundary conditions,2006,Mathematical Problems in Engineering,journal article,,2006
