id,title,type,publication_year,issue,volume,chapter,publication_venue,venue_type,publisher,event
doi:10.1162/qss_a_00023,"Opencitations, An Infrastructure Organization For Open Scholarship",journal-article,2020,1,1,,Quantitative Science Studies,journal,crossref:281,
doi:10.1007/s11192-019-03217-6,"Software Review: Coci, The Opencitations Index Of Crossref Open Doi-To-Doi Citations",journal-article,2019,2,121,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-019-03311-9,Nine Million Book Items And Eleven Million Citations: A Study Of Book-Based Scholarly Communication Using Opencitations,journal-article,2019,2,122,,Scientometrics,journal,crossref:297,
doi:10.1038/sdata.2016.18,The Fair Guiding Principles For Scientific Data Management And Stewardship,journal-article,2016,1,3,,Scientific Data,journal,crossref:297,
doi:10.1371/journal.pbio.3000385,"The Nih Open Citation Collection: A Public Access, Broad Coverage Resource",journal-article,2019,10,17,,Plos Biology,journal,crossref:340,
doi:10.3233/ds-190016,Enabling Text Search On Sparql Endpoints Through Oscar,journal-article,2019,1-2,2,,Data Science,journal,crossref:7437,
doi:10.1007/s11192-020-03397-6,The Practice Of Self-Citations: A Longitudinal Study,journal-article,2020,1,123,,Scientometrics,journal,crossref:297,
doi:10.1186/s13321-020-00448-1,Adoption Of The Citation Typing Ontology By The Journal Of Cheminformatics,journal-article,2020,1,12,,Journal Of Cheminformatics,journal,crossref:297,
doi:10.1007/978-3-030-61244-3_16,Researchflow: Understanding The Knowledge Flow Between Academia And Industry,book-chapter,2020,,,1,Lecture Notes In Computer Science - Knowledge Engineering And Knowledge Management,book,crossref:297,
doi:10.1007/978-3-030-61244-3_6,Ontologies Supporting Research-Related Information Foraging Using Knowledge Graphs: Literature Survey And Holistic Model Mapping,book-chapter,2020,,,1,Lecture Notes In Computer Science - Knowledge Engineering And Knowledge Management,book,crossref:297,
doi:10.1007/978-3-030-54956-5_2,Question Answering On Scholarly Knowledge Graphs,book-chapter,2020,,,1,Digital Libraries For Open Knowledge - Lecture Notes In Computer Science,book,crossref:297,
doi:10.1007/978-3-030-55814-7_15,Dingo: An Ontology For Projects And Grants Linked Data,book-chapter,2020,,,1,"Adbis, Tpdl And Eda 2020 Common Workshops And Doctoral Consortium - Communications In Computer And Information Science",book,crossref:297,
doi:10.1007/s11192-020-03690-4,"Google Scholar, Microsoft Academic, Scopus, Dimensions, Web Of Science, And Opencitations’ Coci: A Multidisciplinary Comparison Of Coverage Via Citations",journal-article,2020,1,126,,Scientometrics,journal,crossref:297,
doi:10.1007/978-3-030-62466-8_28,The Opencitations Data Model,book-chapter,2020,,,1,Lecture Notes In Computer Science - The Semantic Web – Iswc 2020,book,crossref:297,
doi:10.1038/s41597-020-00749-y,A Detailed Open Access Model Of The Pubmed Literature,journal-article,2020,1,7,,Scientific Data,journal,crossref:297,
doi:10.1007/978-3-030-77385-4_37,Kgbench: A Collection Of Knowledge Graph Datasets For Evaluating Relational And Multimodal Machine Learning,book-chapter,2021,,,1,The Semantic Web - Lecture Notes In Computer Science,book,crossref:297,
doi:10.1007/s11192-021-04079-7,Universal And Specific Features Of Ukrainian Economic Research: Publication Analysis Based On Crossref Data,journal-article,2021,9,126,,Scientometrics,journal,crossref:297,
doi:10.1162/qss_a_00112,"Large-Scale Comparison Of Bibliographic Data Sources: Scopus, Web Of Science, Dimensions, Crossref, And Microsoft Academic",journal-article,2021,1,2,,Quantitative Science Studies,journal,crossref:281,
doi:10.7717/peerj-cs.421,A Systematic Metadata Harvesting Workflow For Analysing Scientific Networks,journal-article,2021,,7,,Peerj Computer Science,journal,crossref:4443,
doi:10.1007/s11192-021-04097-5,A Qualitative And Quantitative Analysis Of Open Citations To Retracted Articles: The Wakefield 1998 Et Al.'S Case,journal-article,2021,10,126,,Scientometrics,journal,crossref:297,
doi:10.1007/978-3-030-84825-5_11,Lobd: Linked Data Dashboard For Marine Biodiversity,book-chapter,2021,,,1,"Communications In Computer And Information Science - Cloud Computing, Big Data & Emerging Topics",book,crossref:297,
doi:10.3989/arbor.2021.799007,El Movimiento Open Citations Y Sus Implicaciones En La Transformación De La Evaluación Científica,journal-article,2021,799,197,,Arbor,journal,crossref:2373,
doi:10.1162/qss_a_00146,Scite: A Smart Citation Index That Displays The Context Of Citations And Classifies Their Intent Using Deep Learning,journal-article,2021,3,2,,Quantitative Science Studies,journal,crossref:281,
doi:10.1080/19386389.2021.1999156,Roadmap To Fair Research Information In Open Infrastructures,journal-article,2021,1-2,21,,Journal Of Library Metadata,journal,crossref:301,
doi:10.3390/app11219997,Classification Of Problem And Solution Strings In Scientific Texts: Evaluation Of The Effectiveness Of Machine Learning Classifiers And Deep Neural Networks,journal-article,2021,21,11,,Applied Sciences,journal,crossref:1968,
doi:10.3145/thinkepi.2021.e15e04,La Cobertura De Los Índices De Citas Abiertos Se Acerca A La De Web Of Science Y Scopus,journal-article,2021,,,,Anuario Thinkepi,journal,crossref:1709,
doi:10.1007/978-3-030-16187-3_20,Using The Spar Ontology Network To Represent The Scientific Production Of A University: A Case Study,book-chapter,2019,,,1,Advances In Intelligent Systems And Computing - New Knowledge In Information Systems And Technologies,book,crossref:297,
doi:10.1017/s0269888920000065,"Ontology Engineering Methodologies For The Evolution Of Living And Reused Ontologies: Status, Trends, Findings And Recommendations",journal-article,2020,,35,,The Knowledge Engineering Review,journal,crossref:56,
doi:10.1002/asi.24301,A Computational Analysis Of Art Historical Linked Data For Assessing Authoritativeness Of Attributions,journal-article,2019,7,71,,Journal Of The Association For Information Science And Technology,journal,crossref:311,
doi:10.1007/978-3-030-59194-6_37,Construction And Leverage Scientific Knowledge Graphs By Means Of Semantic Technologies,book-chapter,2020,,,1,Systems And Information Sciences - Advances In Intelligent Systems And Computing,book,crossref:297,
doi:10.1007/978-3-030-61244-3_7,A Unified Nanopublication Model For Effective And User-Friendly Access To The Elements Of Scientific Publishing,book-chapter,2020,,,1,Lecture Notes In Computer Science - Knowledge Engineering And Knowledge Management,book,crossref:297,
doi:10.3897/biss.4.59126,Strategies For Assembling The Biodiversity Knowledge Graph,journal-article,2020,,4,,Biodiversity Information Science And Standards,journal,crossref:2258,
doi:10.1007/978-3-030-54956-5_9,Ontology Design For Pharmaceutical Research Outcomes,book-chapter,2020,,,1,Digital Libraries For Open Knowledge - Lecture Notes In Computer Science,book,crossref:297,
doi:10.1007/978-3-030-71903-6_32,A Linked Data Model For Data Scopes,book-chapter,2021,,,1,Metadata And Semantic Research - Communications In Computer And Information Science,book,crossref:297,
doi:10.3897/bdj.9.e67671,Infrastructure And Population Of The Openbiodiv Biodiversity Knowledge Graph,journal-article,2021,,9,,Biodiversity Data Journal,journal,crossref:2258,
doi:10.1007/978-3-030-91669-5_24,Federating Scholarly Infrastructures With Graphql,book-chapter,2021,,,1,Lecture Notes In Computer Science - Towards Open And Trustworthy Digital Societies,book,crossref:297,
doi:10.1016/j.joi.2014.07.006,Citnetexplorer: A New Software Tool For Analyzing And Visualizing Citation Networks,journal-article,2014,4,8,,Journal Of Informetrics,journal,crossref:78,
doi:10.1007/s11042-019-08000-6,"Exploring Appinventory, A Visual Catalog Of Applications For Assisting Teachers And Students",journal-article,2019,23,78,,Multimedia Tools And Applications,journal,crossref:297,
doi:10.3233/ds-190017,Towards A Scientific Data Framework To Support Scientific Model Development,journal-article,2019,1-2,2,,Data Science,journal,crossref:7437,
doi:10.3233/ds-190023,"Editorial: Special Issue On Scholarly Data Analysis (Semantics, Analytics, Visualisation)",journal-article,2019,1-2,2,,Data Science,journal,crossref:7437,
doi:10.31263/voebm.v72i2.2808,Open Science Und Die Bibliothek – Aktionsfelder Und Berufsbild,journal-article,2019,2,72,,Mitteilungen Der Vereinigung Österreichischer Bibliothekarinnen Und Bibliothekare,journal,crossref:16117,
doi:10.1007/s11192-016-1879-4,A Bibliometric Analysis To Illustrate The Role Of An Embedded Research Capability In South African National Parks,journal-article,2016,1,107,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-016-1971-9,Quantifying The Changing Role Of Past Publications,journal-article,2016,2,108,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-016-2071-6,Mapping And Classification Of Agriculture In Web Of Science: Other Subject Categories And Research Fields May Benefit,journal-article,2016,2,109,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-016-2132-x,Measuring The Match Between Evaluators And Evaluees: Cognitive Distances Between Panel Members And Research Groups At The Journal Level,journal-article,2016,3,109,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-016-2194-9,Ruling Out Static Latent Homophily In Citation Networks,journal-article,2016,2,110,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-016-2215-8,Sleeping Beauties Cited In Patents: Is There Also A Dormitory Of Inventions?,journal-article,2017,3,110,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2436-5,Tracing The Knowledge-Building Dynamics In New Stem Cell Technologies Through Techno-Scientific Networks,journal-article,2017,3,112,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2449-0,"Mapping Patent Classifications: Portfolio And Statistical Analysis, And The Comparison Of Strengths And Weaknesses",journal-article,2017,3,112,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2452-5,Tracking The Emergence Of Synthetic Biology,journal-article,2017,3,112,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2481-0,Discovering Interdisciplinary Interactions Between Two Research Fields Using Citation Networks,journal-article,2017,1,113,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2538-0,An Overview Of The Web Of Science Record Of Scientific Publications (2004–2013) From Nepal: Focus On Disciplinary Diversity And International Collaboration,journal-article,2017,3,113,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2604-7,Identifying The “Ghost City” Of Domain Topics In A Keyword Semantic Space Combining Citations,journal-article,2017,3,114,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2616-3,Usage Pattern Comparison Of The Same Scholarly Articles Between Web Of Science (Wos) And Springer,journal-article,2017,1,115,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-017-2636-z,The Presence Of The Encyclicals In Web Of Science: A Bibliometric Approach,journal-article,2018,1,115,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2651-8,Bibliometric Analysis To Identify An Emerging Research Area: Public Relations Intelligence—A Challenge To Strengthen Technological Observatories In The Network Society,journal-article,2018,3,115,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2705-y,A Look Back Over The Past 40 Years Of Female Entrepreneurship: Mapping Knowledge Networks,journal-article,2018,2,115,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2734-6,Discontinuities In Citation Relations Among Journals: Self-Organized Criticality As A Model Of Scientific Revolutions And Change,journal-article,2018,1,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2740-8,An Eu Without The Uk: Mapping The Uk’S Changing Roles In The Eu Scientific Research,journal-article,2018,3,115,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2748-0,Mapping The Knowledge Domain And The Theme Evolution Of Appropriability Research Between 1986 And 2016: A Scientometric Review,journal-article,2018,1,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2752-4,Delayed Recognition Of Judah Folkman’S Hypothesis On Tumor Angiogenesis: When A Prince Awakens A Sleeping Beauty By Self-Citation,journal-article,2018,1,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2761-3,The Evolutions Of The Rich Get Richer And The Fit Get Richer Phenomena In Scholarly Networks: The Case Of The Strategic Management Journal,journal-article,2018,1,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2765-z,The Application Of Bibliometric Analysis: Disciplinary And User Aspects,journal-article,2018,1,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2775-x,A Comparison Of Cognitive And Organizational Classification Of Publications In The Social Sciences And Humanities,journal-article,2018,2,116,,Scientometrics,journal,crossref:297,
doi:10.1007/s11192-018-2786-7,A Bibliometric Analysis Of Highly Cited Papers In The Field Of Economics And Business Based On The Essential Science Indicators Database,journal-article,2018,2,116,,Scientometrics,journal,crossref:297,
